species,genus,migrat_dist,social_migrat,flight_style,diet_fish,diet_herp,diet_invert,diet_carcass,diet_mammal,diet_bird,weight_g,young_overlap,young_days
swtkit,Elanoides,long,facultative,soaring,0,1,1,0,0,1,465,none,80.5
miskit,Ictinia,long,obligate,soaring,0,1,1,0,1,1,324,none,50
brwhaw,Buteo,long,obligate,soaring,0,1,1,0,1,1,437,some,49
swahaw,Buteo,long,obligate,soaring,0,1,1,0,1,1,1109,none,57.5
amekes,Falco,long,nonsocial,flapping,0,1,1,0,1,1,120,some,50.5
shshaw,Accipiter,long,nonsocial,flapping,0,0,0,0,0,1,178.5,some,47.5
merlin,Falco,long,nonsocial,flapping,0,1,1,0,1,1,211.1,peak,46.5
burowl,Athene,short,nonsocial,flapping,0,1,1,0,1,1,156.1,peak,50.5
norhar2,Circus,long,nonsocial,flapping,0,1,0,0,1,1,513,peak,55.5
coohaw,Accipiter,short,nonsocial,flapping,0,0,0,0,1,1,545.85,none,71.5
perfal,Falco,long,nonsocial,flapping,0,0,0,0,1,1,1014.25,some,77
rethaw,Buteo,short,nonsocial,soaring,0,1,0,0,1,1,1224,some,93
osprey,Pandion,long,nonsocial,flapping,1,0,0,0,0,0,1800,peak,72.5
turvul,Cathartes,long,facultative,soaring,0,0,0,1,0,0,1981.2,peak,84
ferhaw,Buteo,short,nonsocial,flapping,0,0,0,0,1,0,1776,none,
goleag,Aquila,short,nonsocial,soaring,0,0,0,1,1,1,5161.5,none,
baleag,Haliaeetus,short,nonsocial,soaring,1,1,0,1,1,1,5350,peak,119
